"disasterNumber","state","declarationTitle","ihProgramDeclared","paProgramDeclared","hmProgramDeclared","fipsStateCode","fipsCountyCode","id","year","month","day","totalNumberIaApproved","totalAmountIhpApproved","totalAmountHaApproved","totalAmountOnaApproved","totalObligatedAmountPa","totalObligatedAmountCatAb","totalObligatedAmountCatC2g","totalObligatedAmountHmgp"
4519,"OR","SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",1,1,1,41,0,"39b1255d-97c8-4651-9b6e-1f6755471bb3","2020","04","03",165,2242253.35,2069844.91,172408.44,5211308.74,436586.61,4224689.69,2818297
4519,"OR","SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",1,1,1,41,59,"17a39b8c-5cf1-4da6-b404-71c3ad79def1","2020","04","03",165,2242253.35,2069844.91,172408.44,5211308.74,436586.61,4224689.69,2818297
4477,"WI","SEVERE WINTER STORM AND FLOODING",0,1,1,55,59,"98e61a3b-760b-4e34-ae96-c76dab79ee77","2020","03","11",0,0,0,0,5393346.7,273501.98,4325060.37,914831.3
4477,"WI","SEVERE WINTER STORM AND FLOODING",0,1,1,55,79,"77d2822d-c10f-4d7f-a0ec-ae1db97ef441","2020","03","11",0,0,0,0,5393346.7,273501.98,4325060.37,914831.3
4477,"WI","SEVERE WINTER STORM AND FLOODING",0,1,1,55,101,"93dbbb8b-ec8b-441e-9397-7eb44bf57a0c","2020","03","11",0,0,0,0,5393346.7,273501.98,4325060.37,914831.3
4475,"ND","FLOODING",0,1,1,38,3,"c6af98b2-a7fc-4b63-b7a9-8b96fbc8837b","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,21,"55219b19-2b01-4b73-abf6-5c049ac0ebbe","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,27,"2e4d51cc-600b-46b1-bfdb-3b0eecaa5c7a","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,29,"71d79455-4b3b-4968-8cc7-e3e8789e16ca","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,31,"e5c2bed5-d13a-4185-adf7-2e4fdf0f377a","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,35,"6c81157e-63ec-41cb-a725-23ddbc99df60","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,39,"182baf93-0998-4119-a09c-82f618fb8b12","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,43,"bd6198f7-18fc-4a55-aacb-3947f684452a","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,45,"53176222-4477-478d-8bf4-bc56dc206bbc","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,47,"803ae819-d9a9-4a6e-bf2d-9946cb5d4178","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,61,"090c6e93-13f7-4f08-bb3d-6ddc3104c3d8","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,63,"76d9b7eb-7d58-4d1b-b12a-b6def8cc78aa","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,81,"25745f9c-9c28-4010-90f2-4636a05ba6bf","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,83,"f827abb7-a14b-483c-bddc-48458e3d195e","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,93,"8a7e5bc9-7b9a-4d8b-b644-8816dfccf8a5","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,97,"41599ca5-5692-4964-b724-b68dff7e6e34","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,99,"7fad4f80-527c-4aeb-b141-b59b1878e82f","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
4475,"ND","FLOODING",0,1,1,38,103,"a8e7df82-9f9b-415d-8ac8-d39a9e47b338","2020","01","21",0,0,0,0,12873605.7,1668346.47,9945773.69,1954223.71
